Sub	task_x	run_x	tsnr_x	fd_mean_x	task_y	run_y	tsnr_y	fd_mean_y
sub-1001	socialdoors	1	-2.085514070833423	1.2964187858199734	doors	1	-1.5502761713348043	1.0931715580199888
sub-1003	socialdoors	1	-1.4967112667783147	2.140764283501335	doors	1	-0.4515674549796286	0.6596000133907939
sub-1004	socialdoors	1	-1.315341145355998	-0.22384811957261902	doors	1	-0.03590561999771484	-0.5976850161803252
sub-1006	socialdoors	1	1.091947788372916	-0.8262946627808055	doors	1	-0.7971362823475531	-0.5125039518610807
sub-1009	socialdoors	1	0.02727804867158372	0.19356014459380907	doors	1	0.43650279905437844	0.04294290457409453
sub-1010	socialdoors	1	-1.9953750108593908	2.1153808397265306	doors	1	-2.288164682648763	2.311838776686427
sub-1012	socialdoors	1	1.4534766302102364	-0.562862212933366	doors	1	0.4901762691699815	-0.5148622760649909
sub-1013	socialdoors	1	1.7517046455480303	-1.2682746258197386	doors	1	1.3548620987543953	-1.0809239761274565
sub-1015	socialdoors	1	0.8377461070349441	-0.22789351742388572	doors	1	1.4138803066629984	-0.1854612553677964
sub-1016	socialdoors	1	1.6941270095659906	-0.8818908826815008	doors	1	1.7974793078368172	-0.9494076149217814
sub-1019	socialdoors	1	-1.1422542256252923	0.6503375309610128	doors	1	-1.301351730285402	0.16324217245151781
sub-1021	socialdoors	1	0.7370504567635356	0.0024142485948166694	doors	1	-0.8705619262276322	0.5396192053724165
sub-1242	socialdoors	1	1.218776133128766	-1.3206431075983818	doors	1	1.299411123107533	-1.350843316320425
sub-1243	socialdoors	1	0.2501833285443791	2.602804844810165	doors	1	0.14404678585468533	2.71840036106513
sub-1245	socialdoors	1	0.2925452805357082	-0.9892887345990328	doors	1	0.20999916641063454	-1.0594345682333386
sub-1247	socialdoors	1	0.3388389552122155	1.1454207498821738	doors	1	0.026334910772369168	0.9672573364898231
sub-1248	socialdoors	1	-0.44451356015949534	-0.458714575937304	doors	1	1.4632695674958487	-0.4798660760042173
sub-1249	socialdoors	1	0.5187638920452035	0.05892342141819937	doors	1	0.917738318722172	0.04585661911471383
sub-1251	socialdoors	1	1.2365709807705683	-1.3648689568742363	doors	1	0.33094626450916576	-1.241194355553861
sub-1276	socialdoors	1	-0.348614148495932	-0.2784090950416505	doors	1	0.3490377130905018	-0.388553063520052
sub-1286	socialdoors	1	-0.5038985194628466	-0.8576678354584019	doors	1	-0.2746535363506764	-0.624566301745938
sub-1294	socialdoors	1	-0.26734722392862403	-0.5838338447866606	doors	1	0.46704357590965345	-0.7438547445529853
sub-1301	socialdoors	1	-0.7351404145698996	1.2090691987031505	doors	1	0.3254426511262824	0.8520247204886918
sub-1302	socialdoors	1	0.546572449334458	-0.6606373579255773	doors	1	1.097528454207127	-0.41148685328674195
sub-1303	socialdoors	1	-1.6509280139700175	0.014277129566373222	doors	1	-1.8346984434349456	0.02145728350982093
sub-3116	socialdoors	1	0.7310871179009488	0.5412240265208038	doors	1	-0.9539580318061621	1.2144935650470485
sub-3122	socialdoors	1	-0.9518965511493089	-0.07512625245489214	doors	1	-0.8881119077878913	-0.4894808120326211
sub-3125	socialdoors	1	-0.6502039818845792	2.1676495703870513	doors	1	-1.1830613851065876	2.35434165677036
sub-3140	socialdoors	1	-0.1970298217512559	0.2814282409185868	doors	1	0.7469721809514905	0.09269605306981643
sub-3143	socialdoors	1	-1.9087818651295347	0.03551177642439485	doors	1	0.40320752442538543	-1.0613366048279707
sub-3166	socialdoors	1	0.2769391665794675	-0.2649402996255567	doors	1	1.0919712033387703	-0.2782932222653904
sub-3167	socialdoors	1	0.542585158708059	0.555177845646773	doors	1	0.30364750022522896	0.14845894546658767
sub-3170	socialdoors	1	1.0627273244340227	-1.0906465874151032	doors	1	0.6212852944214384	-1.0323064135443292
sub-3173	socialdoors	1	0.24907005464284945	-0.935964187658907	doors	1	-0.03341113744544325	-0.7186656567810213
sub-3175	socialdoors	1	-0.4578164328191958	0.18909178281475178	doors	1	-1.5911907094628495	0.3891891559757496
sub-3176	socialdoors	1	0.24019181172939566	0.430863780901539	doors	1	-1.7903592537027475	1.949232657185915
sub-3189	socialdoors	1	0.5099678870110278	-0.64669855370312	doors	1	0.5880976128580281	-0.5167265090097061
sub-3190	socialdoors	1	-0.7870603371508691	-0.03966647996461647	doors	1	-1.143934243270063	0.4409880436424137
sub-3200	socialdoors	1	0.4934065040714507	-0.22522760427550487	doors	1	0.11390319797411874	-0.08571972586065056
sub-3206	socialdoors	1	0.3031225820505895	-0.6427748024547949	doors	1	-0.1694235794068907	-0.52913946643369
sub-3212	socialdoors	1	1.1083586153695228	-1.6077975356899072	doors	1	0.7067583249121618	-1.364570027233796
sub-3220	socialdoors	1	-0.5746113383118877	0.40365163148414884	doors	1	0.4582239438045887	0.21207077940885646
