Sub	task	run	tsnr	fd_mean	outlier_run_Custom1
sub-3170	doors	1	79.33308410644531	0.0911296400479769	False
sub-1247	doors	1	72.64765167236328	0.22153477663171778	False
sub-1294	doors	1	77.5998764038086	0.10994153303812625	False
sub-3167	doors	1	75.76380157470703	0.16813537087928374	False
sub-1003	doors	1	67.27748289168812	0.20147035245967937	False
sub-1015	doors	1	88.23944091796875	0.14635816602790838	False
sub-3143	doors	1	76.88255337858573	0.08923638405184738	False
sub-1245	doors	1	74.71147918701172	0.08936042878005673	False
sub-1009	doors	1	77.2566909790039	0.16125395300794748	False
sub-1303	doors	1	51.73529815673828	0.15985272969139894	False
sub-3122	doors	1	62.37205123901367	0.1265309853189524	False
sub-3206	doors	1	70.44792175292969	0.12394457503630428	False
sub-3173	doors	1	71.97628784179688	0.11158428457893943	False
sub-3190	doors	1	59.497386416536756	0.18721318072739965	False
sub-3176	doors	1	52.23353576660156	0.2855760585438596	False
sub-3212	doors	1	80.29354095458984	0.06946047249868412	False
sub-3220	doors	1	77.50077056884766	0.17228393073062237	False
sub-1242	doors	1	86.95315551757812	0.07035568457255428	False
sub-1301	doors	1	76.00871276855469	0.21401967488601317	False
sub-1013	doors	1	87.57625579833984	0.08795895849860744	False
sub-3189	doors	1	78.96015552477911	0.12475410831987933	False
sub-3116	doors	1	61.63214111328125	0.23765873074566052	False
sub-1016	doors	1	92.5499267578125	0.09653603389604337	False
sub-3175	doors	1	54.47158432006836	0.18383502335635218	False
sub-3200	doors	1	73.63165283203125	0.15286298878148571	False
sub-1004	doors	1	71.94825744628906	0.1194742540591587	False
sub-1001	doors	1	54.931339263916016	0.22974649844163567	False
sub-1021	doors	1	62.56925964355469	0.1936455888547196	False
sub-3166	doors	1	84.62216186523438	0.14030396279362226	False
sub-3140	doors	1	80.74542236328125	0.16449869382951166	False
sub-1286	doors	1	69.26545715332031	0.11772114280393095	False
sub-1251	doors	1	76.070556640625	0.0775066382267125	False
sub-1019	doors	1	57.728492736816406	0.1690994855438376	False
sub-1012	doors	1	77.85981750488281	0.12487568761525081	False
sub-1302	doors	1	84.68460845947266	0.1316175012366316	False
sub-1276	doors	1	76.27384948730469	0.13311316947269405	False
sub-1249	doors	1	82.66431427001953	0.16144397612805506	False
sub-1006	doors	1	63.39434051513672	0.1250294899583441	False
sub-1248	doors	1	88.79442596435547	0.1271580275750341	False
