Cluster Index	Z	x	y	z	
7	9.91	48	19	21
7	9.03	51	28	12
7	8.74	30	32	14
7	8.46	46	20	17
7	8.22	33	21	21
7	8.18	47	25	11
6	4.77	44	33	5
6	4.56	31	38	5
6	4.47	41	31	4
6	4.43	44	39	5
6	4.24	47	34	4
6	4.05	35	36	5
5	4.41	22	53	22
5	4.12	24	59	19
5	3.74	30	46	21
5	3.62	24	65	24
5	3.41	24	55	23
5	3.39	18	47	23
4	4.2	44	52	41
4	4.14	45	49	41
4	3.78	43	47	41
4	3.76	35	51	41
4	3.71	40	54	41
4	3.66	36	48	41
3	4.07	59	46	15
3	3.94	53	60	15
3	3.74	54	48	15
3	3.69	46	51	16
3	3.56	57	56	16
3	3.56	62	47	17
2	4.01	44	64	27
2	3	36	66	26
2	2.96	39	66	26
2	2.84	43	58	27
1	4.32	23	57	15
1	4.11	32	55	12
1	3.79	30	57	12
1	3.26	25	56	13
1	2.94	27	60	13
