RealID,Study,gender,SPSRWD,BISBAS_BAS,PC1,PC1_de-meaned,
1001,1,1,7,44,0.748618978,1.2766890179,1
1002,1,2,15,35,-1.338732215,-0.8106621751,1
1006,1,2,12,37,-1.633791079,-1.1057210391,1
1007,1,1,14,37,-0.391930685,0.1361393549,1
1009,1,1,12,40,0.71780651,1.2458765499,1
1011,1,2,14,39,1.17580104,1.7038710799,1
1012,1,1,5,33,-9.115765906,-8.5876958661,1
1013,1,1,16,41,3.985393159,4.5134631989,1
1015,1,1,9,35,-5.064313394,-4.5362433541,1
1016,1,1,15,40,2.5805971,3.1086671399,1
1019,1,1,15,39,1.796731237,2.3248012769,1
1021,1,1,11,37,-2.254721275,-1.7266512351,1
1242,1,1,14,40,1.959666903,2.4877369429,1
1243,1,1,11,35,-3.822453001,-3.2943829611,1
1244,1,1,15,48,8.851524003,9.3795940429,1
1248,1,2,14,39,1.17580104,1.7038710799,1
1249,1,1,13,40,1.338736706,1.8668067459,1
1251,1,2,8,24.91666667,-13.58922437,-13.0611543301,1
1255,1,1,11,38,-1.470855412,-0.9427853721,1
1276,1,1,10,36,-3.659517335,-3.1314472951,1
1286,1,1,12,38,-0.849925216,-0.3218551761,1
1294,1,1,9,37,-3.496581668,-2.9685116281,1
1300,1,1,9,33,-6.63204512,-6.1039750801,1
1301,1,1,8,38,-3.333646002,-2.8055759621,1
1302,1,1,20,47,11.17230912,11.7003791599,1
3116,1,1,12,41,1.501672373,2.0297424129,1
3122,1,1,16,40,3.201527296,3.7295973359,1
3140,1,1,11,37,-2.254721275,-1.7266512351,1
3143,1,1,13,37,-1.012860882,-0.4847908421,1
3164,1,2,20,51,14.30777257,14.8358426099,1
3166,1,1,7,36,-5.522307925,-4.9942378851,1
3167,1,1,9,37,-3.496581668,-2.9685116281,1
3170,1,1,9,32,-7.415910983,-6.8878409431,1
3173,1,2,14,43,4.311264492,4.8393345319,1
3176,1,1,8.347826087,36,-4.685402007,-4.1573319671,1
3189,1,2,12,37,-1.633791079,-1.1057210391,1
3190,1,1,14,43,4.311264492,4.8393345319,1
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
¢,,,,,,,
