act_domain_x_outcome_dat_tstat_c1.csv
-0.7739
act_domain_x_outcome_dat_tstat_uncp_c1.csv
0.7736
act_domain_x_outcome_dat_tstat_fwep_c1.csv
0.7736
act_domain_x_outcome_dat_tstat_cfwep_c1.csv
1.0000
act_domain_x_outcome_dat_tstat_c2.csv
0.7739
act_domain_x_outcome_dat_tstat_uncp_c2.csv
0.2265
act_domain_x_outcome_dat_tstat_fwep_c2.csv
0.2265
act_domain_x_outcome_dat_tstat_cfwep_c2.csv
0.9546
act_domain_x_outcome_dat_tstat_c3.csv
-0.1752
act_domain_x_outcome_dat_tstat_uncp_c3.csv
0.5637
act_domain_x_outcome_dat_tstat_fwep_c3.csv
0.5637
act_domain_x_outcome_dat_tstat_cfwep_c3.csv
1.0000
act_domain_x_outcome_dat_tstat_c4.csv
0.1752
act_domain_x_outcome_dat_tstat_uncp_c4.csv
0.4364
act_domain_x_outcome_dat_tstat_fwep_c4.csv
0.4364
act_domain_x_outcome_dat_tstat_cfwep_c4.csv
1.0000
act_domain_x_outcome_dat_tstat_c5.csv
-1.4749
act_domain_x_outcome_dat_tstat_uncp_c5.csv
0.8913
act_domain_x_outcome_dat_tstat_fwep_c5.csv
0.8913
act_domain_x_outcome_dat_tstat_cfwep_c5.csv
1.0000
act_domain_x_outcome_dat_tstat_c6.csv
1.4749
act_domain_x_outcome_dat_tstat_uncp_c6.csv
0.1088
act_domain_x_outcome_dat_tstat_fwep_c6.csv
0.1088
act_domain_x_outcome_dat_tstat_cfwep_c6.csv
0.5378
act_domain_x_outcome_dat_tstat_c7.csv
-1.1077
act_domain_x_outcome_dat_tstat_uncp_c7.csv
0.9361
act_domain_x_outcome_dat_tstat_fwep_c7.csv
0.9361
act_domain_x_outcome_dat_tstat_cfwep_c7.csv
1.0000
act_domain_x_outcome_dat_tstat_c8.csv
1.1077
act_domain_x_outcome_dat_tstat_uncp_c8.csv
0.0640
act_domain_x_outcome_dat_tstat_fwep_c8.csv
0.0640
act_domain_x_outcome_dat_tstat_cfwep_c8.csv
0.8061
act_domain_x_outcome_dat_tstat_c9.csv
-0.2830
act_domain_x_outcome_dat_tstat_uncp_c9.csv
0.6255
act_domain_x_outcome_dat_tstat_fwep_c9.csv
0.6255
act_domain_x_outcome_dat_tstat_cfwep_c9.csv
1.0000
act_domain_x_outcome_dat_tstat_c10.csv
0.2830
act_domain_x_outcome_dat_tstat_uncp_c10.csv
0.3746
act_domain_x_outcome_dat_tstat_fwep_c10.csv
0.3746
act_domain_x_outcome_dat_tstat_cfwep_c10.csv
0.9998
act_domain_x_outcome_dat_tstat_c11.csv
0.4043
act_domain_x_outcome_dat_tstat_uncp_c11.csv
0.3197
act_domain_x_outcome_dat_tstat_fwep_c11.csv
0.3197
act_domain_x_outcome_dat_tstat_cfwep_c11.csv
0.9984
act_domain_x_outcome_dat_tstat_c12.csv
-0.4043
act_domain_x_outcome_dat_tstat_uncp_c12.csv
0.6804
act_domain_x_outcome_dat_tstat_fwep_c12.csv
0.6804
act_domain_x_outcome_dat_tstat_cfwep_c12.csv
1.0000
