Sub	task_x	run_x	tsnr_x	fd_mean_x	task_y	run_y	tsnr_y	fd_mean_y
sub-1001	socialdoors	1	-2.1446400584714227	1.3042251807258507	doors	1	-1.5886756255341596	1.1061108244593225
sub-1003	socialdoors	1	-1.5440968031746356	2.1649875395182323	doors	1	-0.5015826707062124	0.6636551462980386
sub-1004	socialdoors	1	-1.3591102467547425	-0.24560072712017708	doors	1	-0.09031529321721561	-0.6193923859764329
sub-1006	socialdoors	1	1.096178897157328	-0.859760817986073	doors	1	-0.8434980774448132	-0.5324659120259709
sub-1009	socialdoors	1	0.010280143121538934	0.17992333030650975	doors	1	0.37709873245519476	0.034362374080216224
sub-1010	socialdoors	1	-2.0527036679967416	2.1391105578823097	doors	1	-2.3187630364713616	2.349749244386378
sub-1012	socialdoors	1	1.464916454222938	-0.5912063725181709	doors	1	0.43020475624046395	-0.534872559666691
sub-1013	socialdoors	1	1.7690909960528989	-1.3103343291483622	doors	1	1.2857489596204859	-1.1125331937299043
sub-1015	socialdoors	1	0.836908553739714	-0.24972478084732094	doors	1	1.3441432155947628	-0.19872192015864243
sub-1016	socialdoors	1	1.710365289064399	-0.9164380117569598	doors	1	1.723686733769867	-0.9783219856665902
sub-1019	socialdoors	1	-1.1825720551760166	0.6455819755082043	doors	1	-1.3423828619280025	0.15712664403832172
sub-1021	socialdoors	1	0.7342050795175383	-0.014939072306391493	doors	1	-0.916147451184683	0.5412158616270137
sub-1242	socialdoors	1	1.2255361395125337	-1.3637210269230826	doors	1	1.2308842224369922	-1.387983338448383
sub-1243	socialdoors	1	0.23763004953455433	2.6360116931402735	doors	1	0.0877346209178468	2.76464151247664
sub-1244	socialdoors	1	0.4780411141070429	0.5539877785021047	doors	1	1.384718958346176	0.49738228460151285
sub-1245	socialdoors	1	0.28083667894323144	-1.0259240321119307	doors	1	0.1529897401220955	-1.090603455349107
sub-1247	socialdoors	1	0.3280534277399612	1.1502912449806442	doors	1	-0.028732781403376702	0.977616547177067
sub-1248	socialdoors	1	-0.4709187687005701	-0.48503376198189285	doors	1	1.393010323588284	-0.49915926707918923
sub-1249	socialdoors	1	0.5115659832688889	0.042668825202901946	doors	1	0.8532465369245171	0.0373357923291944
sub-1251	socialdoors	1	1.2436858080547342	-1.4088067725649063	doors	1	0.2726581620546786	-1.2760876065983107
sub-1255	socialdoors	1	0.25871520085630084	0.1768232194515205	doors	1	0.9164305662102304	-0.10004314832888911
sub-1276	socialdoors	1	-0.3731071678303868	-0.30122254789343134	doors	1	0.2905583443346968	-0.40597519777366253
sub-1286	socialdoors	1	-0.5314878361881697	-0.8917439886086747	doors	1	-0.3265391203186797	-0.646824484743321
sub-1294	socialdoors	1	-0.29021981897353283	-0.6125857620587539	doors	1	0.4073166262974143	-0.7685572172364895
sub-1301	socialdoors	1	-0.7673405860259412	1.2151772295581273	doors	1	0.26721273393932066	0.8600227477438414
sub-1302	socialdoors	1	0.5399290301235928	-0.6908825887896807	doors	1	1.0311358962459143	-0.4293789142530439
sub-1303	socialdoors	1	-1.7013885598407925	-0.002845537805182199	doors	1	-1.8700909302401516	0.01243650012361289
sub-3116	socialdoors	1	0.728122834480131	0.5343469446873246	doors	1	-0.998661876969215	1.2299187900880502
sub-3122	socialdoors	1	-0.9884187381177071	-0.09398721642366879	doors	1	-0.9335118909379312	-0.5089710146500022
sub-3125	socialdoors	1	-0.6807105607834583	2.1923955650481943	doors	1	-1.2253431052082735	2.393123033243826
sub-3140	socialdoors	1	-0.21850032083802862	0.26949987221122473	doors	1	0.684285771864312	0.08513499357294708
sub-3143	socialdoors	1	-1.9643838956300839	0.01880198061923849	doors	1	0.34415546192366353	-1.0925444657816188
sub-3166	socialdoors	1	0.2649193864078239	-0.28749187467460635	doors	1	1.0256373977109767	-0.29345606813841524
sub-3167	socialdoors	1	0.5358622347956822	0.5485720720765442	doors	1	0.24564800559844902	0.1420405001203128
sub-3170	socialdoors	1	1.0663757908978293	-1.1292526158631007	doors	1	0.5599276714622848	-1.0629194289666672
sub-3173	socialdoors	1	0.2364945774745419	-0.971562680115903	doors	1	-0.08784718281802673	-0.7428519903818535
sub-3175	socialdoors	1	-0.4844868943902491	0.17536808883789173	doors	1	-1.6291576072340839	0.38770341288326393
sub-3176	socialdoors	1	0.22743930656917075	0.4218409319271384	doors	1	-1.8262205030166812	1.9797131142564774
sub-3189	socialdoors	1	0.5025945900274661	-0.676672768243216	doors	1	0.5270908565015907	-0.5367749918304762
sub-3190	socialdoors	1	-0.8202957674666435	-0.057837989010497436	doors	1	-1.1866296230998004	0.44056368993432105
sub-3200	socialdoors	1	0.48570298089406355	-0.24700703355520248	doors	1	0.057909716891502525	-0.09693662860619422
sub-3206	socialdoors	1	0.2916248868801759	-0.6726727263301632	doors	1	-0.2224216748778831	-0.5494422979834044
sub-3212	socialdoors	1	1.112916948333002	-1.6564586841267883	doors	1	0.6444970645062396	-1.4019913176650398
sub-3220	socialdoors	1	-0.6036106354179788	0.3940996885799003	doors	1	0.39859023705259566	0.2069557775979444
