act_VS3_ise_model_1_dat_tstat_c10.csv
0.2062,0.0759,0.3195
act_VS3_ise_model_1_dat_tstat_c11.csv
-2.1980,-1.6700,-2.3748
act_VS3_ise_model_1_dat_tstat_c12.csv
2.1980,1.6700,2.3748
act_VS3_ise_model_1_dat_tstat_c1.csv
13.5344,10.7567,14.0557
act_VS3_ise_model_1_dat_tstat_c2.csv
-13.5344,-10.7567,-14.0557
act_VS3_ise_model_1_dat_tstat_c3.csv
1.5420,1.3860,1.4092
act_VS3_ise_model_1_dat_tstat_c4.csv
-1.5420,-1.3860,-1.4092
act_VS3_ise_model_1_dat_tstat_c5.csv
0.3478,0.1804,0.4761
act_VS3_ise_model_1_dat_tstat_c6.csv
-0.3478,-0.1804,-0.4761
act_VS3_ise_model_1_dat_tstat_c7.csv
-1.1312,-1.0396,-1.0064
act_VS3_ise_model_1_dat_tstat_c8.csv
1.1312,1.0396,1.0064
act_VS3_ise_model_1_dat_tstat_c9.csv
-0.2062,-0.0759,-0.3195
act_VS3_ise_model_1_dat_tstat_cfwep_c10.csv
1.0000,1.0000,1.0000
act_VS3_ise_model_1_dat_tstat_cfwep_c11.csv
1.0000,1.0000,1.0000
act_VS3_ise_model_1_dat_tstat_cfwep_c12.csv
0.1436,0.4308,0.0881
act_VS3_ise_model_1_dat_tstat_cfwep_c1.csv
0.0001,0.0001,0.0001
act_VS3_ise_model_1_dat_tstat_cfwep_c2.csv
1.0000,1.0000,1.0000
act_VS3_ise_model_1_dat_tstat_cfwep_c3.csv
0.5301,0.6554,0.6386
act_VS3_ise_model_1_dat_tstat_cfwep_c4.csv
1.0000,1.0000,1.0000
act_VS3_ise_model_1_dat_tstat_cfwep_c5.csv
1.0000,1.0000,0.9998
act_VS3_ise_model_1_dat_tstat_cfwep_c6.csv
1.0000,1.0000,1.0000
act_VS3_ise_model_1_dat_tstat_cfwep_c7.csv
1.0000,1.0000,1.0000
act_VS3_ise_model_1_dat_tstat_cfwep_c8.csv
0.8423,0.8933,0.9097
act_VS3_ise_model_1_dat_tstat_cfwep_c9.csv
1.0000,1.0000,1.0000
act_VS3_ise_model_1_dat_tstat_fwep_c10.csv
0.5561,0.6363,0.4819
act_VS3_ise_model_1_dat_tstat_fwep_c11.csv
0.9977,0.9853,0.9987
act_VS3_ise_model_1_dat_tstat_fwep_c12.csv
0.0229,0.0706,0.0135
act_VS3_ise_model_1_dat_tstat_fwep_c1.csv
0.0001,0.0001,0.0001
act_VS3_ise_model_1_dat_tstat_fwep_c2.csv
1.0000,1.0000,1.0000
act_VS3_ise_model_1_dat_tstat_fwep_c3.csv
0.0728,0.1014,0.0965
act_VS3_ise_model_1_dat_tstat_fwep_c4.csv
0.9841,0.9745,0.9763
act_VS3_ise_model_1_dat_tstat_fwep_c5.csv
0.4624,0.5509,0.3921
act_VS3_ise_model_1_dat_tstat_fwep_c6.csv
0.8065,0.7364,0.8499
act_VS3_ise_model_1_dat_tstat_fwep_c7.csv
0.9674,0.9537,0.9500
act_VS3_ise_model_1_dat_tstat_fwep_c8.csv
0.1418,0.1698,0.1806
act_VS3_ise_model_1_dat_tstat_fwep_c9.csv
0.7886,0.7248,0.8358
act_VS3_ise_model_1_dat_tstat_uncp_c10.csv
0.3785,0.4405,0.3579
act_VS3_ise_model_1_dat_tstat_uncp_c11.csv
0.9881,0.9766,0.9882
act_VS3_ise_model_1_dat_tstat_uncp_c12.csv
0.0120,0.0235,0.0119
act_VS3_ise_model_1_dat_tstat_uncp_c1.csv
0.0001,0.0001,0.0001
act_VS3_ise_model_1_dat_tstat_uncp_c2.csv
1.0000,1.0000,1.0000
act_VS3_ise_model_1_dat_tstat_uncp_c3.csv
0.0463,0.0462,0.0741
act_VS3_ise_model_1_dat_tstat_uncp_c4.csv
0.9538,0.9539,0.9260
act_VS3_ise_model_1_dat_tstat_uncp_c5.csv
0.3258,0.3963,0.2906
act_VS3_ise_model_1_dat_tstat_uncp_c6.csv
0.6743,0.6038,0.7095
act_VS3_ise_model_1_dat_tstat_uncp_c7.csv
0.9131,0.9259,0.8529
act_VS3_ise_model_1_dat_tstat_uncp_c8.csv
0.0870,0.0742,0.1472
act_VS3_ise_model_1_dat_tstat_uncp_c9.csv
0.6216,0.5596,0.6422
act_VS3_ise_model_1_elapsed.csv
2.4211,71.257,0.31702
all_output.csv
