act_VS3logp_model_3_dat_tstat_c10.csv
0.2830,0.8397,-0.4082
act_VS3logp_model_3_dat_tstat_c11.csv
0.4043,0.3750,0.3553
act_VS3logp_model_3_dat_tstat_c12.csv
-0.4043,-0.3750,-0.3553
act_VS3logp_model_3_dat_tstat_c1.csv
-0.7739,-0.8220,-0.5615
act_VS3logp_model_3_dat_tstat_c2.csv
0.7739,0.8220,0.5615
act_VS3logp_model_3_dat_tstat_c3.csv
-0.1752,-0.4027,0.1194
act_VS3logp_model_3_dat_tstat_c4.csv
0.1752,0.4027,-0.1194
act_VS3logp_model_3_dat_tstat_c5.csv
-1.4749,-1.2402,-1.4414
act_VS3logp_model_3_dat_tstat_c6.csv
1.4749,1.2402,1.4414
act_VS3logp_model_3_dat_tstat_c7.csv
-1.1077,-1.0695,-0.9254
act_VS3logp_model_3_dat_tstat_c8.csv
1.1077,1.0695,0.9254
act_VS3logp_model_3_dat_tstat_c9.csv
-0.2830,-0.8397,0.4082
act_VS3logp_model_3_dat_tstat_cfwep_c10.csv
-0.0000,0.0018,-0.0000
act_VS3logp_model_3_dat_tstat_cfwep_c11.csv
-0.0000,-0.0000,-0.0000
act_VS3logp_model_3_dat_tstat_cfwep_c12.csv
-0.0000,-0.0000,-0.0000
act_VS3logp_model_3_dat_tstat_cfwep_c1.csv
-0.0000,-0.0000,-0.0000
act_VS3logp_model_3_dat_tstat_cfwep_c2.csv
-0.0000,-0.0000,-0.0000
act_VS3logp_model_3_dat_tstat_cfwep_c3.csv
-0.0000,-0.0000,-0.0000
act_VS3logp_model_3_dat_tstat_cfwep_c4.csv
-0.0000,-0.0000,-0.0000
act_VS3logp_model_3_dat_tstat_cfwep_c5.csv
-0.0000,-0.0000,-0.0000
act_VS3logp_model_3_dat_tstat_cfwep_c6.csv
0.1543,0.0733,0.1407
act_VS3logp_model_3_dat_tstat_cfwep_c7.csv
-0.0000,-0.0000,-0.0000
act_VS3logp_model_3_dat_tstat_cfwep_c8.csv
0.0419,0.0343,0.0155
act_VS3logp_model_3_dat_tstat_cfwep_c9.csv
-0.0000,-0.0000,-0.0000
act_VS3logp_model_3_dat_tstat_fwep_c10.csv
0.2803,0.5112,0.1052
act_VS3logp_model_3_dat_tstat_fwep_c11.csv
0.3249,0.3152,0.3083
act_VS3logp_model_3_dat_tstat_fwep_c12.csv
0.1061,0.1116,0.1154
act_VS3logp_model_3_dat_tstat_fwep_c1.csv
0.0005,0.0000,4.0000
act_VS3logp_model_3_dat_tstat_fwep_c2.csv
-0.0000,-0.0000,-0.0000
act_VS3logp_model_3_dat_tstat_fwep_c3.csv
0.1484,0.1059,0.2235
act_VS3logp_model_3_dat_tstat_fwep_c4.csv
0.2444,0.3258,0.1607
act_VS3logp_model_3_dat_tstat_fwep_c5.csv
0.0133,0.0214,0.0144
act_VS3logp_model_3_dat_tstat_fwep_c6.csv
0.9104,0.7602,0.8894
act_VS3logp_model_3_dat_tstat_fwep_c7.csv
0.0291,0.0315,0.0418
act_VS3logp_model_3_dat_tstat_fwep_c8.csv
0.6678,0.6486,0.5686
act_VS3logp_model_3_dat_tstat_fwep_c9.csv
0.1252,0.0491,0.3163
act_VS3logp_model_3_dat_tstat_uncp_c10.csv
0.4098,0.6809,0.1852
act_VS3logp_model_3_dat_tstat_uncp_c11.csv
0.4658,0.4540,0.4364
act_VS3logp_model_3_dat_tstat_uncp_c12.csv
0.1818,0.1881,0.1979
act_VS3logp_model_3_dat_tstat_uncp_c1.csv
4.0000,4.0000,4.0000
act_VS3logp_model_3_dat_tstat_uncp_c2.csv
-0.0000,-0.0000,-0.0000
act_VS3logp_model_3_dat_tstat_uncp_c3.csv
0.2440,0.1834,0.3455
act_VS3logp_model_3_dat_tstat_uncp_c4.csv
0.3665,0.4627,0.2606
act_VS3logp_model_3_dat_tstat_uncp_c5.csv
0.0345,0.0492,0.0372
act_VS3logp_model_3_dat_tstat_uncp_c6.csv
1.1163,0.9698,1.0851
act_VS3logp_model_3_dat_tstat_uncp_c7.csv
0.0648,0.0682,0.0851
act_VS3logp_model_3_dat_tstat_uncp_c8.csv
0.8579,0.8371,0.7496
act_VS3logp_model_3_dat_tstat_uncp_c9.csv
0.2140,0.1015,0.4594
act_VS3logp_model_3_elapsed.csv
2.2008,73.666,0.36024
all_output.csv
